Antecedent Consequent  Support  Confidence
    [7438]     [6874]       72    0.847059
     [161]      [380]       55    0.785714
     [500]      [356]       77    0.785714
     [539]      [356]       54    0.782609
     [434]      [380]       55    0.774648
     [153]      [356]       61    0.762500
     [454]      [356]       60    0.759494
    [5418]     [2571]       59    0.756410
    [1291]     [1198]       83    0.754545
     [153]      [592]       60    0.750000
    [5445]     [2571]       62    0.746988
    [1213]      [296]       76    0.745098
     [778]      [296]       55    0.743243
     [223]      [296]       59    0.737500
    [1221]      [858]       70    0.736842
    [4011]     [2571]       56    0.736842
    [7153]     [4993]      106    0.736111
   [68157]     [2959]       50    0.735294
   [32587]     [4993]       50    0.735294
   [32587]     [6874]       50    0.735294
    [1206]      [296]       63    0.732558
     [587]      [356]       63    0.732558
     [597]      [356]       71    0.731959
    [1210]      [260]      109    0.731544
     [349]      [356]       59    0.728395
    [1196]      [260]      117    0.726708
    [5952]     [4993]      107    0.722973
   [44191]     [2571]       59    0.719512
   [44191]     [2959]       59    0.719512
    [1291]      [260]       79    0.718182
     [357]      [356]       53    0.716216
     [349]      [457]       58    0.716049
     [161]      [592]       50    0.714286
    [4022]     [2571]       55    0.714286
    [1089]      [296]       67    0.712766
    [2115]     [1198]       56    0.708861
   [59315]    [58559]       51    0.708333
     [111]      [296]       58    0.707317
    [3114]        [1]       53    0.706667
     [349]      [380]       57    0.703704
    [1732]      [296]       61    0.701149
    [1222]      [296]       56    0.700000
    [1240]      [589]       70    0.700000
    [4993]     [5952]      107    0.699346
    [4896]     [4993]       58    0.698795
    [4896]     [5952]       58    0.698795
    [5989]     [2571]       60    0.697674
     [590]      [356]       83    0.697479
    [1704]      [356]       83    0.697479
    [2355]        [1]       53    0.697368
    [2997]      [296]       53    0.697368
     [541]      [296]       64    0.695652
   [59315]     [2571]       50    0.694444
    [7153]     [5952]      100    0.694444
   [60069]     [2571]       59    0.694118
    [4993]     [7153]      106    0.692810
    [3147]      [318]       56    0.691358
    [3147]      [356]       56    0.691358
    [1291]     [1196]       76    0.690909
     [595]      [588]       80    0.689655
    [1527]     [2571]       60    0.689655
    [1732]     [2571]       60    0.689655
     [778]      [593]       51    0.689189
     [590]      [296]       82    0.689076
      [47]      [296]      106    0.688312
   [48516]      [318]       64    0.688172
   [79132]     [2571]       75    0.688073
     [150]      [356]      101    0.687075
    [5445]     [5952]       57    0.686747
      [34]      [356]       61    0.685393
    [1387]     [1198]       50    0.684932
    [6874]     [2571]       76    0.684685
     [185]      [356]       52    0.684211
     [292]      [380]       52    0.684211
     [292]      [592]       52    0.684211
    [4963]     [2571]       65    0.684211
    [2115]     [1210]       54    0.683544
    [2115]     [1291]       54    0.683544
     [480]      [356]      123    0.683333
    [4878]     [2959]       56    0.682927
    [7438]     [2571]       58    0.682353
    [1097]      [260]       60    0.681818
     [377]      [356]       81    0.680672
    [1258]      [296]       55    0.679012
    [6377]      [356]       74    0.678899
       [2]      [364]       57    0.678571
   [58559]     [2571]       82    0.677686
    [1136]      [260]       73    0.675926
    [2329]      [296]       75    0.675676
    [6874]     [2959]       75    0.675676
    [5952]     [7153]      100    0.675676
    [1265]      [260]       77    0.675439
    [2628]      [260]       52    0.675325
    [3949]      [296]       52    0.675325
    [2628]     [2571]       52    0.675325
    [3949]     [2959]       52    0.675325
    [4306]     [2571]       83    0.674797
    [5445]      [260]       56    0.674699
    [5445]      [356]       56    0.674699
    [5989]      [356]       58    0.674419
