Antecedent Consequent  Support  Confidence
     [296]      [356]      144    0.600000
     [356]      [296]      144    0.558140
     [318]      [356]      139    0.569672
     [356]      [318]      139    0.538760
     [296]      [318]      137    0.570833
     [318]      [296]      137    0.561475
     [296]      [593]      135    0.562500
     [593]      [296]      135    0.610860
     [356]      [593]      128    0.496124
     [593]      [356]      128    0.579186
     [318]      [593]      126    0.516393
     [593]      [318]      126    0.570136
     [356]      [480]      123    0.476744
     [480]      [356]      123    0.683333
     [110]      [296]      117    0.635870
     [296]      [110]      117    0.487500
     [260]     [1196]      117    0.596939
    [1196]      [260]      117    0.726708
     [260]     [2571]      117    0.596939
    [2571]      [260]      117    0.549296
     [110]      [356]      113    0.614130
     [356]      [110]      113    0.437984
     [318]      [527]      112    0.459016
     [527]      [318]      112    0.643678
     [356]     [2571]      112    0.434109
    [2571]      [356]      112    0.525822
     [318]     [2571]      111    0.454918
    [2571]      [318]      111    0.521127
     [356]      [527]      111    0.430233
     [527]      [356]      111    0.637931
    [2571]     [2959]      111    0.521127
    [2959]     [2571]      111    0.649123
     [260]     [1210]      109    0.556122
    [1210]      [260]      109    0.731544
     [296]     [2571]      107    0.445833
    [2571]      [296]      107    0.502347
    [4993]     [5952]      107    0.699346
    [5952]     [4993]      107    0.722973
      [47]      [296]      106    0.688312
     [296]       [47]      106    0.441667
     [356]      [589]      106    0.410853
     [589]      [356]      106    0.605714
    [4993]     [7153]      106    0.692810
    [7153]     [4993]      106    0.736111
     [296]      [480]      105    0.437500
     [480]      [296]      105    0.583333
     [296]     [2959]      105    0.437500
    [2959]      [296]      105    0.614035
     [110]      [318]      104    0.565217
     [318]      [110]      104    0.426230
     [150]      [356]      101    0.687075
     [356]      [150]      101    0.391473
     [296]      [589]      101    0.420833
     [589]      [296]      101    0.577143
       [1]      [356]      100    0.558659
     [356]        [1]      100    0.387597
      [50]      [296]      100    0.613497
     [296]       [50]      100    0.416667
      [50]      [318]      100    0.613497
     [318]       [50]      100    0.409836
     [260]      [356]      100    0.510204
     [356]      [260]      100    0.387597
     [318]     [2959]      100    0.409836
    [2959]      [318]      100    0.584795
     [480]      [589]      100    0.555556
     [589]      [480]      100    0.571429
    [5952]     [7153]      100    0.675676
    [7153]     [5952]      100    0.694444
     [296]      [527]       99    0.412500
     [527]      [296]       99    0.568966
     [110]      [593]       98    0.532609
     [593]      [110]       98    0.443439
     [260]      [296]       98    0.500000
     [296]      [260]       98    0.408333
     [260]     [1198]       98    0.500000
    [1198]      [260]       98    0.624204
     [356]      [457]       98    0.379845
     [457]      [356]       98    0.649007
     [593]     [2571]       98    0.443439
    [2571]      [593]       98    0.460094
     [356]      [592]       97    0.375969
     [592]      [356]       97    0.633987
     [480]      [593]       97    0.538889
     [593]      [480]       97    0.438914
    [1196]     [2571]       97    0.602484
    [2571]     [1196]       97    0.455399
     [110]      [480]       96    0.521739
     [480]      [110]       96    0.533333
     [296]      [592]       96    0.400000
     [592]      [296]       96    0.627451
       [1]      [296]       95    0.530726
     [296]        [1]       95    0.395833
      [50]      [356]       95    0.582822
     [356]       [50]       95    0.368217
     [110]      [589]       95    0.516304
     [589]      [110]       95    0.542857
     [260]      [593]       95    0.484694
     [593]      [260]       95    0.429864
    [2571]     [5952]       95    0.446009
    [5952]     [2571]       95    0.641892
